UTA_ID,Departamento,2018,2019,2020,2021,2022,2023,2024,2025
,antartida argentina,270,277,283,291,298,305,313,320
,rio grande,91133,93507,95889,98277,100678,103088,105505,107928
,ushuaia,73541,75399,77260,79129,81007,82892,84783,86678
