departamento_id,departamento_nombre,provincia_id,provincia_nombre,año,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos,depto_full_id
1,CABA,2,CABA,2022,8,Dengue,11,De 45 a 65 años,1,2001
1,CABA,2,CABA,2022,9,Dengue,8,De 20 a 24 años,1,2001
1,CABA,2,CABA,2022,16,Dengue,10,De 35 a 44 años,1,2001
1,CABA,2,CABA,2022,49,Dengue,6,De 10 a 14 años,1,2001
1,CABA,2,CABA,2022,48,Dengue,10,De 35 a 44 años,1,2001
1,CABA,2,CABA,2022,48,Dengue,11,De 45 a 65 años,1,2001
1,CABA,2,CABA,2022,18,Dengue,11,De 45 a 65 años,2,2001
1,CABA,2,CABA,2022,48,Dengue,11,De 45 a 65 años,1,2001
28,Almirante Brown,6,Buenos Aires,2022,14,Dengue,11,De 45 a 65 años,1,6028
245,Ensenada,6,Buenos Aires,2022,17,Dengue,9,De 25 a 34 años,1,6245
270,Ezeiza,6,Buenos Aires,2022,32,Dengue,9,De 25 a 34 años,1,6270
371,General San Martín,6,Buenos Aires,2022,40,Dengue,5,De 5 a 9 años,1,6371
410,Ituzaingó,6,Buenos Aires,2022,10,Dengue,11,De 45 a 65 años,1,6410
410,Ituzaingó,6,Buenos Aires,2022,11,Dengue,12,Mayores de 65 años,1,6410
427,La Matanza,6,Buenos Aires,2022,17,Dengue,6,De 10 a 14 años,1,6427
427,La Matanza,6,Buenos Aires,2022,7,Dengue,6,De 10 a 14 años,1,6427
427,La Matanza,6,Buenos Aires,2022,8,Dengue,6,De 10 a 14 años,2,6427
427,La Matanza,6,Buenos Aires,2022,9,Dengue,6,De 10 a 14 años,2,6427
427,La Matanza,6,Buenos Aires,2022,10,Dengue,6,De 10 a 14 años,1,6427
427,La Matanza,6,Buenos Aires,2022,13,Dengue,6,De 10 a 14 años,1,6427
427,La Matanza,6,Buenos Aires,2022,14,Dengue,6,De 10 a 14 años,2,6427
427,La Matanza,6,Buenos Aires,2022,9,Dengue,7,De 15 a 19 años,2,6427
427,La Matanza,6,Buenos Aires,2022,10,Dengue,7,De 15 a 19 años,2,6427
427,La Matanza,6,Buenos Aires,2022,12,Dengue,7,De 15 a 19 años,2,6427
