UTA_ID,Departamento,2018,2019,2020,2021,2022,2023,2024,2025
78007,corpen aike,14124,14497,14869,15243,15617,15991,16365,16738
78014,deseado,140782,144876,148968,153063,157167,161269,165378,169485
78021,guer aike,134230,136792,139354,141917,144483,147052,149620,152189
78028,lago argentino,28245,29393,30540,31688,32837,33988,35139,36291
78035,lago buenos aires,11171,11469,11767,12065,12364,12663,12962,13260
78042,magallanes,11764,12080,12395,12711,13027,13344,13659,13976
78049,rio chico,7277,7540,7805,8069,8332,8597,8861,9126
