departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos,departamento_id_uta_2020
moron,6,buenos aires,2022,17,dengue,8,de 25 a 34 anos,2,6568
moron,6,buenos aires,2022,13,dengue,9,de 35 a 44 anos,1,6568
moron,6,buenos aires,2022,19,dengue,9,de 35 a 44 anos,1,6568
moron,6,buenos aires,2022,13,dengue,10,de 45 a 65 anos,2,6568
moron,6,buenos aires,2022,17,dengue,10,de 45 a 65 anos,1,6568
moron,6,buenos aires,2022,15,dengue,11,mayores de 65 anos,1,6568
san fernando,6,chaco,2022,10,dengue,11,mayores de 65 anos,1,22140
catamarca capital,10,catamarca,2022,4,dengue,11,mayores de 65 anos,1,10049
la paz,10,entre rios,2022,12,dengue,11,mayores de 65 anos,1,30070
cordoba capital,14,cordoba,2022,21,dengue,8,de 25 a 34 anos,1,14014
cordoba capital,14,cordoba,2022,48,dengue,8,de 25 a 34 anos,1,14014
cordoba capital,14,cordoba,2022,13,dengue,9,de 35 a 44 anos,1,14014
cordoba capital,14,cordoba,2022,48,dengue,9,de 35 a 44 anos,1,14014
cordoba capital,14,cordoba,2022,50,dengue,11,mayores de 65 anos,1,14014
colon,14,cordoba,2022,16,dengue,8,de 25 a 34 anos,1,14021
colon,14,cordoba,2022,17,dengue,10,de 45 a 65 anos,1,14021
santa maria,14,catamarca,2022,40,dengue,10,de 45 a 65 anos,1,10091
corrientes capital,18,corrientes,2022,31,dengue,10,de 45 a 65 anos,1,18021
godoy cruz,50,mendoza,2022,41,dengue,11,mayores de 65 anos,1,50021
junin,50,buenos aires,2022,44,dengue,9,de 35 a 44 anos,1,6413
las heras,50,mendoza,2022,11,dengue,10,de 45 a 65 anos,1,50049
misiones capital,54,misiones,2022,19,dengue,9,de 35 a 44 anos,1,54028
salta capital,66,salta,2022,16,dengue,11,mayores de 65 anos,1,66028
general jose de san martin,66,salta,2022,6,dengue,6,de 15 a 19 anos,1,66056
general jose de san martin,66,salta,2022,10,dengue,6,de 15 a 19 anos,1,66056
general jose de san martin,66,salta,2022,11,dengue,6,de 15 a 19 anos,5,66056
general jose de san martin,66,salta,2022,12,dengue,6,de 15 a 19 anos,4,66056
general jose de san martin,66,salta,2022,13,dengue,6,de 15 a 19 anos,3,66056
general jose de san martin,66,salta,2022,14,dengue,6,de 15 a 19 anos,10,66056
general jose de san martin,66,salta,2022,15,dengue,6,de 15 a 19 anos,8,66056
general jose de san martin,66,salta,2022,16,dengue,6,de 15 a 19 anos,9,66056
general jose de san martin,66,salta,2022,17,dengue,6,de 15 a 19 anos,10,66056
general jose de san martin,66,salta,2022,18,dengue,6,de 15 a 19 anos,4,66056
general jose de san martin,66,salta,2022,19,dengue,6,de 15 a 19 anos,4,66056
general jose de san martin,66,salta,2022,20,dengue,6,de 15 a 19 anos,3,66056
general jose de san martin,66,salta,2022,21,dengue,6,de 15 a 19 anos,1,66056
general jose de san martin,66,salta,2022,22,dengue,6,de 15 a 19 anos,1,66056
general jose de san martin,66,salta,2022,16,dengue,3,de 2 a 4 anos,1,66056
general jose de san martin,66,salta,2022,17,dengue,3,de 2 a 4 anos,1,66056
general jose de san martin,66,salta,2022,10,dengue,7,de 20 a 24 anos,2,66056
general jose de san martin,66,salta,2022,11,dengue,7,de 20 a 24 anos,2,66056
general jose de san martin,66,salta,2022,12,dengue,7,de 20 a 24 anos,2,66056
general jose de san martin,66,salta,2022,13,dengue,7,de 20 a 24 anos,2,66056
general jose de san martin,66,salta,2022,14,dengue,7,de 20 a 24 anos,6,66056
general jose de san martin,66,salta,2022,15,dengue,7,de 20 a 24 anos,9,66056
general jose de san martin,66,salta,2022,16,dengue,7,de 20 a 24 anos,10,66056
general jose de san martin,66,salta,2022,17,dengue,7,de 20 a 24 anos,6,66056
general jose de san martin,66,salta,2022,18,dengue,7,de 20 a 24 anos,5,66056
general jose de san martin,66,salta,2022,19,dengue,7,de 20 a 24 anos,4,66056
general jose de san martin,66,salta,2022,20,dengue,7,de 20 a 24 anos,1,66056
general jose de san martin,66,salta,2022,14,dengue,4,de 5 a 9 anos,3,66056
general jose de san martin,66,salta,2022,15,dengue,4,de 5 a 9 anos,1,66056
general jose de san martin,66,salta,2022,16,dengue,4,de 5 a 9 anos,2,66056
general jose de san martin,66,salta,2022,17,dengue,4,de 5 a 9 anos,4,66056
general jose de san martin,66,salta,2022,18,dengue,4,de 5 a 9 anos,2,66056
general jose de san martin,66,salta,2022,19,dengue,4,de 5 a 9 anos,1,66056
general jose de san martin,66,salta,2022,5,dengue,8,de 25 a 34 anos,1,66056
general jose de san martin,66,salta,2022,10,dengue,8,de 25 a 34 anos,3,66056
general jose de san martin,66,salta,2022,12,dengue,8,de 25 a 34 anos,3,66056
general jose de san martin,66,salta,2022,13,dengue,8,de 25 a 34 anos,2,66056
general jose de san martin,66,salta,2022,14,dengue,8,de 25 a 34 anos,11,66056
general jose de san martin,66,salta,2022,15,dengue,8,de 25 a 34 anos,9,66056
general jose de san martin,66,salta,2022,16,dengue,8,de 25 a 34 anos,8,66056
general jose de san martin,66,salta,2022,17,dengue,8,de 25 a 34 anos,3,66056
general jose de san martin,66,salta,2022,18,dengue,8,de 25 a 34 anos,6,66056
general jose de san martin,66,salta,2022,19,dengue,8,de 25 a 34 anos,8,66056
general jose de san martin,66,salta,2022,20,dengue,8,de 25 a 34 anos,3,66056
general jose de san martin,66,salta,2022,21,dengue,8,de 25 a 34 anos,3,66056
general jose de san martin,66,salta,2022,4,dengue,9,de 35 a 44 anos,1,66056
general jose de san martin,66,salta,2022,7,dengue,9,de 35 a 44 anos,1,66056
general jose de san martin,66,salta,2022,11,dengue,9,de 35 a 44 anos,4,66056
general jose de san martin,66,salta,2022,12,dengue,9,de 35 a 44 anos,7,66056
general jose de san martin,66,salta,2022,13,dengue,9,de 35 a 44 anos,7,66056
general jose de san martin,66,salta,2022,14,dengue,9,de 35 a 44 anos,14,66056
general jose de san martin,66,salta,2022,15,dengue,9,de 35 a 44 anos,11,66056
general jose de san martin,66,salta,2022,16,dengue,9,de 35 a 44 anos,13,66056
general jose de san martin,66,salta,2022,17,dengue,9,de 35 a 44 anos,15,66056
general jose de san martin,66,salta,2022,18,dengue,9,de 35 a 44 anos,13,66056
general jose de san martin,66,salta,2022,19,dengue,9,de 35 a 44 anos,4,66056
general jose de san martin,66,salta,2022,20,dengue,9,de 35 a 44 anos,4,66056
general jose de san martin,66,salta,2022,21,dengue,9,de 35 a 44 anos,5,66056
general jose de san martin,66,salta,2022,22,dengue,9,de 35 a 44 anos,1,66056
general jose de san martin,66,salta,2022,5,dengue,10,de 45 a 65 anos,1,66056
general jose de san martin,66,salta,2022,9,dengue,10,de 45 a 65 anos,1,66056
general jose de san martin,66,salta,2022,10,dengue,10,de 45 a 65 anos,1,66056
general jose de san martin,66,salta,2022,12,dengue,10,de 45 a 65 anos,11,66056
