Nombre,Código UTA 2020,Latitud,Longitud,Provincia,Población INDEC,Hogares con agua de red pública,Hogares con desague de cloaca a red pública,Hogares con red de gas,Hogares con heladera,"Total de hogares para variable agua de red pública, gas y heladera",Total de hogares para variable cloaca a red pública,Hogares con tenencia irregular de terreno o vivienda,Cantidad total de viviendas,Hogares con déficit habitacional cuantitativo simple,Hogares con déficit habitacional cuantitativo compuesto,Viviendas irrecuperables,Hogares con Necesidades Básicas Insatisfechas,Hogares con hacinamiento crítico
tres lomas,6847,-36.499723,-62.6930571,buenos aires,8700.0,88.0,0.0,73.0,97.0,2894.0,2901.0,8.0,2845.0,1.0,2.0,28.0,3.0,1.0
libertador general san martin,54077,-26.785012551,-54.901151033,misiones,46561.0,75.0,15.0,0.0,86.0,12751.0,12787.0,19.0,12500.0,1.0,8.0,883.0,15.0,5.0
loncopue,58063,-38.143833175,-70.528734,neuquen,6925.0,74.0,62.0,60.0,71.0,2000.0,2010.0,16.0,1870.0,6.0,15.0,180.0,20.0,8.0
san carlos,50091,-33.670943614,-68.98052274,mendoza,32631.0,78.0,27.0,45.0,91.0,8985.0,9007.0,15.0,8430.0,6.0,9.0,259.0,10.0,5.0
cochinoca,38007,-22.84146227,-66.079278568,jujuy,12656.0,76.0,20.0,0.0,49.0,3373.0,3399.0,16.0,3035.0,10.0,39.0,987.0,19.0,6.0
curuzu cuatia,18035,-29.309599765,-58.51285545,corrientes,44384.0,84.0,62.0,0.0,88.0,12446.0,12473.0,20.0,11901.0,4.0,10.0,729.0,12.0,5.0
quebrachos,86140,-29.79049,-63.18682,santiago del estero,10568.0,53.0,0.0,0.0,80.0,2807.0,2814.0,19.0,2599.0,7.0,27.0,568.0,17.0,6.0
san cristobal,82091,-29.887499217,-61.571827677,santa fe,68878.0,23.0,19.0,0.0,94.0,21776.0,21826.0,11.0,20771.0,4.0,5.0,256.0,6.0,3.0
belgrano,86042,-28.89628,-62.62596,santiago del estero,9243.0,54.0,0.0,0.0,88.0,2473.0,2492.0,15.0,2157.0,12.0,18.0,145.0,16.0,5.0
coronel pringles,74021,-33.120748488,-65.966843949,san luis,13157.0,85.0,11.0,27.0,88.0,4055.0,4068.0,11.0,3862.0,4.0,9.0,190.0,9.0,3.0
pellegrini,86133,-26.283187866,-64.456840515,santiago del estero,20514.0,57.0,0.0,0.0,67.0,5296.0,5312.0,14.0,4703.0,11.0,22.0,617.0,28.0,7.0
mendoza capital,50007,-32.877493847,-68.852787068,mendoza,115041.0,96.0,94.0,88.0,96.0,39136.0,39388.0,11.0,36794.0,5.0,8.0,830.0,4.0,1.0
general san martin,6371,-34.567343377,-58.584311246,buenos aires,414196.0,98.0,52.0,55.0,96.0,133202.0,133301.0,13.0,121392.0,8.0,11.0,3852.0,6.0,2.0
quemu quemu,42119,-36.208427429,-63.702777862,la pampa,8663.0,83.0,0.0,83.0,97.0,3139.0,3150.0,10.0,3083.0,1.0,2.0,26.0,1.0,0.0
gualeguaychu,30056,-33.154505087,-58.988901125,entre rios,109461.0,89.0,78.0,27.0,96.0,34492.0,34564.0,11.0,33057.0,4.0,5.0,525.0,4.0,2.0
punilla,14091,-31.105800629,-64.591285706,cordoba,178401.0,93.0,23.0,19.0,94.0,55253.0,56147.0,12.0,52983.0,4.0,5.0,725.0,5.0,3.0
lavalle,18091,-28.9356733,-58.8052348,corrientes,28759.0,68.0,31.0,0.0,70.0,7312.0,7328.0,32.0,7108.0,2.0,23.0,1529.0,28.0,11.0
