Nombre,Código UTA 2020,Latitud,Longitud,Provincia,Población INDEC,Hogares con agua de red pública,Hogares con desague de cloaca a red pública,Hogares con red de gas,Hogares con heladera,"Total de hogares para variable agua de red pública, gas y heladera",Total de hogares para variable cloaca a red pública,Hogares con tenencia irregular de terreno o vivienda,Cantidad total de viviendas,Hogares con déficit habitacional cuantitativo simple,Hogares con déficit habitacional cuantitativo compuesto,Viviendas irrecuperables,Hogares con Necesidades Básicas Insatisfechas,Hogares con hacinamiento crítico
constitucion,82028,-33.3790173,-61.3544315,santa fe,86910.0,94.0,46.0,46.0,96.0,27693.0,27732.0,13.0,25971.0,6.0,8.0,524.0,5.0,2.0
figueroa,86070,-26.914608594,-63.529854431,santiago del estero,17820.0,24.0,0.0,0.0,59.0,4084.0,4085.0,34.0,3709.0,9.0,68.0,2406.0,36.0,14.0
balcarce,6063,-37.5739424,-58.6177189,buenos aires,43823.0,89.0,71.0,80.0,98.0,14720.0,14746.0,10.0,14022.0,4.0,4.0,367.0,6.0,2.0
sobremonte,14154,-29.616354941,-64.062436384,cordoba,4591.0,64.0,0.0,0.0,83.0,1311.0,1328.0,12.0,1233.0,5.0,9.0,42.0,14.0,6.0
tunuyan,50119,-33.4855528,-69.18303881,mendoza,49458.0,84.0,52.0,49.0,90.0,13538.0,13573.0,15.0,12690.0,6.0,11.0,677.0,12.0,6.0
almirante brown,22007,-25.534456253,-62.852661133,chaco,34075.0,47.0,0.0,0.0,71.0,8730.0,8745.0,17.0,7995.0,8.0,23.0,1344.0,30.0,9.0
hurlingham,6408,-34.593093136,-58.635720951,buenos aires,181241.0,34.0,11.0,58.0,95.0,55122.0,55161.0,15.0,50403.0,8.0,11.0,1460.0,6.0,2.0
la paz,30070,-30.60360412,-59.52751986,entre rios,66903.0,87.0,62.0,10.0,87.0,18305.0,18341.0,20.0,17440.0,4.0,8.0,684.0,12.0,7.0
quitilipi,22133,-26.99698694,-60.33777397,chaco,34081.0,74.0,26.0,0.0,73.0,8809.0,8817.0,21.0,8276.0,6.0,17.0,985.0,23.0,10.0
juan martin de pueyrredon,74056,-33.368777964,-66.40741813,san luis,204019.0,98.0,79.0,63.0,95.0,58559.0,58655.0,10.0,53317.0,8.0,10.0,930.0,6.0,3.0
tafi viejo,90105,-26.741963216,-65.563156447,tucuman,121638.0,85.0,30.0,43.0,92.0,3972.0,29782.0,19.0,3793.0,4.0,16.0,300.0,13.0,5.0
choya,86063,-28.599575043,-64.665016174,santiago del estero,34667.0,85.0,32.0,31.0,87.0,9465.0,9465.0,14.0,9030.0,4.0,32.0,726.0,13.0,6.0
o higgins,22112,-27.282306249,-60.802376761,chaco,20131.0,77.0,1.0,0.0,75.0,5184.0,5185.0,25.0,5002.0,3.0,9.0,299.0,25.0,9.0
gaiman,26042,-43.33395568,-65.47259113,chubut,11141.0,88.0,9.0,76.0,92.0,3508.0,3537.0,15.0,3279.0,6.0,9.0,114.0,8.0,3.0
capitan sarmiento,6140,-34.1731879,-59.9792421,buenos aires,14494.0,88.0,81.0,88.0,98.0,4672.0,4678.0,9.0,4481.0,4.0,6.0,101.0,6.0,2.0
realico,42133,-35.01791303,-64.035117862,la pampa,16227.0,93.0,42.0,90.0,97.0,5472.0,5494.0,7.0,5396.0,1.0,1.0,31.0,2.0,1.0
belgrano,74014,-32.52213375,-66.48595015,san luis,3985.0,58.0,8.0,0.0,80.0,1294.0,1304.0,15.0,1246.0,3.0,9.0,79.0,22.0,5.0
san antonio,62077,-40.778587341,-65.050743103,rio negro,29284.0,98.0,33.0,90.0,95.0,9230.0,9276.0,15.0,8837.0,4.0,6.0,176.0,6.0,3.0
futaleufu,26035,-43.48395319,-71.59418478,chubut,43076.0,93.0,81.0,87.0,91.0,13740.0,13874.0,14.0,12833.0,6.0,9.0,419.0,8.0,3.0
atamisqui,86021,-28.82072,-63.74698,santiago del estero,10923.0,36.0,0.0,0.0,64.0,2520.0,2529.0,18.0,2454.0,2.0,21.0,476.0,29.0,10.0
maipu,22091,-26.164279026,-60.55151954,chaco,25288.0,54.0,8.0,0.0,70.0,6346.0,6354.0,20.0,6103.0,3.0,17.0,836.0,28.0,9.0
catan lil,58021,-39.314510533,-70.154038951,neuquen,2155.0,36.0,0.0,0.0,41.0,661.0,663.0,20.0,640.0,3.0,10.0,51.0,21.0,5.0
salto,6714,-34.1554316,-60.4724629,buenos aires,32653.0,90.0,46.0,69.0,96.0,10689.0,10707.0,7.0,10372.0,2.0,2.0,206.0,5.0,2.0
general manuel belgrano,54049,-25.79129267,-53.88429149,misiones,42902.0,35.0,2.0,0.0,71.0,11042.0,11082.0,23.0,10435.0,5.0,18.0,1467.0,20.0,4.0
goya,18070,-29.175124402,-58.889820541,corrientes,89959.0,81.0,53.0,0.0,83.0,4119.0,24381.0,26.0,3934.0,4.0,17.0,868.0,15.0,6.0
general pinto,6351,-34.8011277,-61.8636453,buenos aires,11261.0,81.0,38.0,54.0,96.0,3888.0,3888.0,10.0,3820.0,1.0,2.0,38.0,3.0,1.0
corpen aike,78007,-50.203589682,-69.91434697,santa cruz,11093.0,95.0,82.0,94.0,92.0,3481.0,3512.0,7.0,3299.0,5.0,7.0,79.0,6.0,2.0
pichi mahuida,62063,-39.0626,-63.9792,rio negro,14107.0,89.0,47.0,81.0,96.0,4687.0,4705.0,12.0,4587.0,2.0,3.0,65.0,4.0,2.0
calamuchita,14007,-32.092862143,-64.563878452,cordoba,54730.0,85.0,9.0,20.0,91.0,16915.0,17384.0,13.0,16270.0,3.0,6.0,475.0,7.0,3.0
carmen de areco,6161,-34.4145467,-59.8540512,buenos aires,14692.0,77.0,49.0,88.0,98.0,4631.0,4641.0,10.0,4498.0,2.0,4.0,81.0,5.0,2.0
tercero arriba,14161,-32.252891508,-64.251432088,cordoba,109554.0,95.0,46.0,62.0,97.0,36058.0,36162.0,8.0,35121.0,2.0,3.0,245.0,3.0,1.0
san fernando,22140,-27.925615311,-59.31798172,chaco,390874.0,98.0,46.0,0.0,91.0,110180.0,110295.0,18.0,102755.0,6.0,10.0,4657.0,11.0,5.0
exaltacion de la cruz,6266,-34.2240131,-59.232576,buenos aires,29805.0,56.0,39.0,39.0,95.0,9101.0,9119.0,12.0,8626.0,5.0,9.0,365.0,8.0,3.0
comuna 12,2012,-34.560625135,-58.474944746,ciudad de buenos aires,200116.0,99.0,99.0,97.0,99.0,78286.0,78640.0,10.0,74995.0,4.0,4.0,218.0,1.0,0.0
lihuel calel,42084,-38.01481736,-65.584818951,la pampa,439.0,37.0,0.0,0.0,91.0,182.0,184.0,9.0,179.0,1.0,4.0,6.0,4.0,0.0
necochea,6581,-38.085516,-59.2924177,buenos aires,92933.0,93.0,76.0,61.0,95.0,31425.0,31556.0,11.0,30285.0,3.0,4.0,299.0,3.0,1.0
guasayan,86084,-27.850400925,-65.011795044,santiago del estero,7602.0,65.0,0.0,0.0,72.0,1950.0,1952.0,11.0,1795.0,7.0,28.0,405.0,20.0,8.0
pilar,6638,-34.422005581,-58.952837882,buenos aires,299077.0,27.0,17.0,57.0,97.0,82671.0,82744.0,14.0,75816.0,8.0,14.0,5010.0,13.0,5.0
general ocampo,46084,-30.878257752,-66.180053711,la rioja,7145.0,83.0,0.0,0.0,83.0,2096.0,2102.0,10.0,2047.0,2.0,11.0,201.0,15.0,4.0
paclin,10077,-27.854732513,-65.717269898,catamarca,4185.0,84.0,32.0,0.0,91.0,1152.0,1158.0,13.0,1080.0,6.0,9.0,35.0,9.0,4.0
san miguel,6760,-34.575140152,-58.696040989,buenos aires,276190.0,42.0,34.0,76.0,97.0,80627.0,80697.0,14.0,72989.0,9.0,12.0,2598.0,8.0,3.0
pila,6630,-36.097606751,-58.098558707,buenos aires,3640.0,64.0,51.0,74.0,96.0,1215.0,1223.0,8.0,1197.0,1.0,6.0,61.0,4.0,2.0
magallanes,78042,-49.064224243,-68.324668884,santa cruz,9202.0,97.0,80.0,95.0,95.0,2807.0,2808.0,8.0,2664.0,5.0,8.0,85.0,5.0,1.0
diamante,30021,-32.011978035,-60.61726225,entre rios,46361.0,87.0,58.0,31.0,95.0,14784.0,14831.0,12.0,14252.0,3.0,4.0,185.0,4.0,2.0
maipu,50070,-32.940932971,-68.642916793,mendoza,172332.0,85.0,47.0,60.0,95.0,46569.0,46611.0,17.0,42411.0,8.0,11.0,1030.0,8.0,4.0
santa maria,10091,-26.794689249,-66.483496437,catamarca,22548.0,87.0,30.0,0.0,82.0,5982.0,6008.0,15.0,5513.0,7.0,15.0,440.0,13.0,4.0
ledesma,38035,-23.884973526,-64.673904419,jujuy,81790.0,96.0,70.0,39.0,85.0,20345.0,20385.0,16.0,18354.0,9.0,16.0,1440.0,17.0,8.0
utracan,42154,-37.439212799,-65.023735046,la pampa,14839.0,90.0,50.0,79.0,96.0,5005.0,5036.0,8.0,4927.0,1.0,2.0,66.0,3.0,1.0
adolfo alsina,6007,-37.046226443,-63.266821042,buenos aires,17072.0,84.0,38.0,64.0,95.0,4199.0,6266.0,12.0,6097.0,2.0,3.0,92.0,3.0,1.0
rio primero,14105,-30.805935463,-63.173242925,cordoba,46675.0,82.0,2.0,11.0,92.0,13652.0,13675.0,12.0,13142.0,3.0,6.0,386.0,8.0,4.0
cafayate,66021,-26.10228924,-66.015506705,salta,14850.0,89.0,77.0,0.0,80.0,3555.0,3603.0,16.0,2892.0,18.0,24.0,204.0,19.0,9.0
sarmiento,86182,-28.081445866,-63.33466823,santiago del estero,4607.0,56.0,0.0,0.0,57.0,1057.0,1060.0,24.0,1041.0,1.0,34.0,347.0,28.0,12.0
mercedes,18105,-29.060000001,-57.760000021,corrientes,40667.0,88.0,50.0,0.0,88.0,11172.0,11200.0,20.0,10638.0,4.0,8.0,457.0,12.0,5.0
lobos,6483,-35.2649767,-59.0698098,buenos aires,36172.0,60.0,26.0,40.0,96.0,11749.0,11769.0,10.0,11007.0,6.0,8.0,234.0,4.0,2.0
general guemes,22063,-25.704138218,-61.031502727,chaco,67132.0,58.0,1.0,0.0,57.0,17243.0,17298.0,20.0,16065.0,6.0,25.0,3303.0,35.0,12.0
ojo de agua,86126,-29.72712,-63.42753,santiago del estero,14008.0,50.0,0.0,0.0,81.0,3784.0,3796.0,12.0,3471.0,8.0,15.0,261.0,18.0,5.0
azul,6049,-37.0314689,-59.6042326,buenos aires,65280.0,90.0,70.0,78.0,97.0,22020.0,22075.0,9.0,21050.0,4.0,4.0,272.0,3.0,2.0
ensenada,6245,-34.875848555,-57.933629899,buenos aires,56729.0,99.0,47.0,64.0,96.0,17443.0,17470.0,16.0,16486.0,5.0,12.0,1154.0,10.0,2.0
moreno,86119,-27.413858414,-63.065467834,santiago del estero,32130.0,62.0,0.0,0.0,75.0,7467.0,7497.0,18.0,6013.0,19.0,38.0,1417.0,25.0,11.0
catamarca capital,10049,-28.332107544,-65.894065857,catamarca,159703.0,97.0,82.0,38.0,94.0,42037.0,42130.0,9.0,38408.0,8.0,10.0,656.0,8.0,4.0
confluencia,58035,-38.752823157,-68.837738725,neuquen,362673.0,96.0,79.0,88.0,96.0,113864.0,114064.0,13.0,105919.0,6.0,10.0,4175.0,8.0,4.0
daireaux,6231,-36.752182007,-61.815643311,buenos aires,16889.0,79.0,57.0,51.0,96.0,5479.0,5491.0,9.0,5284.0,3.0,5.0,82.0,4.0,2.0
lavalle,50056,-32.810136757,-67.221782078,mendoza,36738.0,75.0,22.0,18.0,85.0,9269.0,9271.0,20.0,8612.0,7.0,13.0,599.0,18.0,6.0
conesa,62028,-40.220565796,-64.070602417,rio negro,7069.0,78.0,6.0,72.0,93.0,2254.0,2266.0,13.0,2179.0,3.0,8.0,109.0,9.0,3.0
tafi del valle,90098,-26.596217,-65.8573856,tucuman,14933.0,70.0,0.0,0.0,79.0,29772.0,4027.0,10.0,26614.0,10.0,12.0,1641.0,15.0,3.0
gobernador dupuy,74042,-34.823871612,-66.448936462,san luis,11779.0,83.0,10.0,0.0,87.0,3508.0,3524.0,17.0,3394.0,3.0,7.0,145.0,12.0,5.0
los andes,66105,-24.654569626,-67.303604126,salta,6050.0,81.0,36.0,46.0,51.0,1250.0,1292.0,18.0,1110.0,11.0,26.0,185.0,27.0,11.0
comuna 8,2008,-34.674993579,-58.476162985,ciudad de buenos aires,187237.0,98.0,93.0,63.0,92.0,57119.0,58254.0,18.0,48631.0,16.0,17.0,799.0,11.0,5.0
caseros,82014,-33.2334798,-61.682947,santa fe,82100.0,85.0,44.0,54.0,97.0,27951.0,28010.0,9.0,26764.0,4.0,5.0,306.0,3.0,1.0
trenque lauquen,6826,-36.0383096,-62.8210281,buenos aires,43021.0,87.0,81.0,48.0,92.0,14519.0,14538.0,7.0,13772.0,5.0,6.0,155.0,3.0,1.0
metan,66112,-25.51643753,-64.605926514,salta,40351.0,91.0,65.0,38.0,85.0,10128.0,10144.0,23.0,9312.0,8.0,17.0,1007.0,18.0,6.0
general taboada,86077,-28.41299021,-62.79434139,santiago del estero,38105.0,62.0,0.0,0.0,76.0,9073.0,9108.0,16.0,8319.0,8.0,22.0,1330.0,19.0,8.0
ushuaia,94014,-54.637686083,-67.766940855,tierra del fuego antartida e islas del atlantico sur,56956.0,93.0,87.0,88.0,94.0,17538.0,17688.0,16.0,16891.0,3.0,14.0,1855.0,13.0,2.0
san vicente,6778,-35.183110002,-58.452410024,buenos aires,59478.0,51.0,47.0,72.0,96.0,17116.0,17121.0,13.0,16377.0,4.0,13.0,1501.0,15.0,6.0
general lamadrid,46077,-28.976200104,-68.214889526,la rioja,1734.0,94.0,0.0,0.0,87.0,484.0,487.0,13.0,475.0,1.0,11.0,49.0,9.0,4.0
jachal,70056,-30.20949542,-68.74673275,san juan,21730.0,91.0,0.0,0.0,92.0,5365.0,5386.0,25.0,4996.0,6.0,16.0,501.0,9.0,3.0
rawson,26077,-43.315554025,-65.3717721,chubut,131313.0,98.0,83.0,95.0,96.0,41187.0,41276.0,12.0,39372.0,4.0,5.0,603.0,6.0,3.0
general paz,18063,-27.705562904,-57.794965844,corrientes,14836.0,72.0,30.0,0.0,72.0,2387.0,4148.0,26.0,2287.0,4.0,25.0,188.0,16.0,7.0
comuna 4,2004,-34.646413551,-58.384271032,ciudad de buenos aires,218245.0,99.0,94.0,77.0,95.0,75144.0,76562.0,14.0,69680.0,8.0,10.0,1047.0,12.0,3.0
comuna 10,2010,-34.627686291,-58.483587278,ciudad de buenos aires,166022.0,99.0,98.0,97.0,98.0,61133.0,61545.0,11.0,58332.0,5.0,5.0,170.0,3.0,0.0
almirante brown,6028,-34.801558074,-58.391467719,buenos aires,552902.0,49.0,15.0,57.0,94.0,156918.0,157010.0,15.0,142614.0,9.0,13.0,7328.0,10.0,4.0
general alvear,50014,-35.16899569,-66.50196772,mendoza,46429.0,93.0,39.0,57.0,94.0,57375.0,14789.0,15.0,52897.0,7.0,6.0,706.0,7.0,2.0
tala,30091,-31.99620378,-59.24649058,entre rios,25665.0,86.0,56.0,23.0,92.0,8406.0,8423.0,14.0,8143.0,3.0,4.0,133.0,6.0,3.0
benito juarez,6084,-37.5763984,-60.1392005,buenos aires,20239.0,89.0,52.0,78.0,97.0,6786.0,6835.0,8.0,6638.0,2.0,3.0,73.0,3.0,1.0
general viamonte,6385,-35.1438182,-61.2992596,buenos aires,18078.0,56.0,50.0,62.0,96.0,6286.0,6304.0,10.0,6172.0,1.0,2.0,71.0,3.0,1.0
baradero,6070,-33.8417492,-59.4518203,buenos aires,32761.0,91.0,59.0,40.0,94.0,10416.0,10444.0,10.0,10001.0,3.0,7.0,283.0,5.0,2.0
curaco,42042,-38.741340766,-66.436065336,la pampa,1040.0,72.0,0.0,0.0,82.0,360.0,365.0,17.0,347.0,3.0,3.0,22.0,11.0,3.0
ramon lista,34063,-23.18007636,-62.03032748,formosa,13754.0,50.0,0.0,0.0,25.0,2796.0,2806.0,35.0,2665.0,4.0,62.0,1606.0,68.0,38.0
general villegas,6392,-34.8579191,-63.1611931,buenos aires,30864.0,41.0,39.0,44.0,95.0,10342.0,10362.0,10.0,10120.0,2.0,3.0,190.0,6.0,2.0
coronel de marina l rosales,6182,-38.93877,-61.96122,buenos aires,62152.0,97.0,80.0,67.0,97.0,5689.0,19479.0,7.0,18705.0,3.0,4.0,134.0,2.0,1.0
colon,30008,-31.70735861,-58.28660961,entre rios,62160.0,89.0,66.0,22.0,96.0,19963.0,20030.0,12.0,19064.0,4.0,8.0,825.0,7.0,2.0
beron de astrada,18014,-27.464210061,-57.464626522,corrientes,2461.0,78.0,0.0,0.0,77.0,676.0,685.0,34.0,662.0,2.0,18.0,111.0,19.0,11.0
las heras,50049,-32.240089416,-69.455314636,mendoza,203666.0,89.0,86.0,68.0,94.0,53978.0,54116.0,17.0,49369.0,8.0,11.0,1690.0,7.0,4.0
zonda,70133,-31.774671555,-68.914604187,san juan,4863.0,90.0,0.0,0.0,90.0,1196.0,1200.0,26.0,1101.0,7.0,20.0,149.0,13.0,6.0
magdalena,6505,-35.175444975,-57.518948583,buenos aires,19301.0,74.0,47.0,69.0,96.0,5358.0,5375.0,10.0,5145.0,3.0,8.0,260.0,7.0,2.0
adolfo alsina,62007,-40.633583069,-63.509506226,rio negro,57678.0,95.0,83.0,88.0,95.0,18345.0,18394.0,10.0,17651.0,3.0,6.0,432.0,6.0,3.0
independencia,46105,-30.44523,-67.359382,la rioja,2427.0,78.0,0.0,0.0,71.0,643.0,645.0,12.0,629.0,2.0,14.0,82.0,25.0,6.0
general jose de san martin,66056,-22.164599818,-63.9088426,salta,156910.0,92.0,44.0,35.0,74.0,37915.0,38005.0,26.0,34711.0,8.0,23.0,5860.0,26.0,11.0
rivadavia,50084,-33.474016601,-68.809692869,mendoza,56373.0,88.0,39.0,53.0,94.0,15884.0,15901.0,17.0,14975.0,5.0,7.0,360.0,7.0,3.0
zapala,58112,-38.822467804,-70.008003235,neuquen,36549.0,93.0,81.0,87.0,91.0,10735.0,10765.0,14.0,10263.0,4.0,8.0,450.0,12.0,5.0
federacion,30028,-30.706810067,-57.887849136,entre rios,68736.0,85.0,76.0,12.0,93.0,19378.0,19459.0,14.0,18437.0,4.0,8.0,796.0,10.0,4.0
berisso,6098,-34.845876055,-57.879733357,buenos aires,88470.0,97.0,40.0,50.0,95.0,27449.0,27474.0,14.0,25778.0,6.0,13.0,2109.0,11.0,3.0
castellanos,82021,-31.381849289,-61.370059967,santa fe,178092.0,76.0,51.0,30.0,97.0,56560.0,56635.0,9.0,53134.0,6.0,6.0,518.0,5.0,3.0
san roque,18161,-28.883931336,-58.78485627,corrientes,18366.0,84.0,15.0,0.0,76.0,4684.0,4693.0,28.0,4513.0,3.0,14.0,529.0,22.0,8.0
collon cura,58028,-40.229343414,-70.307525635,neuquen,4532.0,84.0,63.0,78.0,80.0,1316.0,1322.0,12.0,1293.0,1.0,5.0,51.0,12.0,4.0
san martin,82126,-31.842542648,-61.562709808,santa fe,63842.0,32.0,56.0,40.0,97.0,21473.0,21524.0,9.0,20787.0,3.0,4.0,178.0,3.0,1.0
roque perez,6693,-35.41999054,-59.665016176,buenos aires,12513.0,51.0,35.0,76.0,98.0,4295.0,4305.0,10.0,4216.0,1.0,4.0,113.0,4.0,2.0
pellegrini,6616,-36.3151294,-63.2094531,buenos aires,5887.0,78.0,68.0,65.0,96.0,2100.0,2100.0,8.0,2006.0,4.0,5.0,26.0,3.0,1.0
san martin,86175,-28.2954,-63.86655,santiago del estero,9831.0,41.0,0.0,0.0,59.0,2261.0,2267.0,34.0,2066.0,8.0,48.0,897.0,35.0,12.0
rancul,42126,-35.08643621,-64.92315252,la pampa,10668.0,85.0,0.0,77.0,95.0,3497.0,3507.0,12.0,3408.0,2.0,4.0,59.0,4.0,2.0
pilcomayo,34049,-25.117113113,-58.188476565,formosa,85024.0,72.0,25.0,0.0,82.0,21932.0,21966.0,16.0,20504.0,6.0,18.0,2560.0,15.0,8.0
malargue,50077,-36.479148865,-69.826599121,mendoza,27660.0,84.0,1.0,71.0,83.0,7820.0,7923.0,16.0,7090.0,9.0,13.0,303.0,14.0,5.0
loventue,42098,-36.723377228,-65.224739075,la pampa,8619.0,89.0,3.0,50.0,94.0,2824.0,2835.0,11.0,2787.0,1.0,2.0,39.0,4.0,1.0
graneros,90035,-27.6423966,-65.5086366,tucuman,13551.0,71.0,0.0,0.0,77.0,3481.0,3487.0,14.0,3367.0,3.0,11.0,281.0,21.0,9.0
calingasta,70021,-31.30289373,-69.41260371,san juan,8588.0,85.0,0.0,0.0,86.0,2117.0,2151.0,26.0,2016.0,4.0,25.0,435.0,11.0,4.0
olavarria,6595,-36.8410918,-60.4478581,buenos aires,111708.0,74.0,43.0,33.0,94.0,36865.0,36968.0,9.0,35843.0,2.0,3.0,258.0,3.0,2.0
general las heras,6329,-34.8223015,-59.1343749,buenos aires,14889.0,54.0,21.0,64.0,96.0,4641.0,4643.0,10.0,4466.0,3.0,6.0,124.0,6.0,3.0
famailla,90028,-27.11478,-65.42955,tucuman,34542.0,90.0,45.0,22.0,89.0,8019.0,8025.0,22.0,7251.0,9.0,15.0,505.0,17.0,8.0
paso de los libres,18119,-29.87793885,-57.53288465,corrientes,48642.0,89.0,60.0,0.0,90.0,13254.0,13282.0,18.0,12053.0,9.0,16.0,997.0,13.0,5.0
san nicolas,6763,-33.6042287,-60.4178226,buenos aires,145857.0,98.0,58.0,45.0,95.0,45051.0,45120.0,11.0,42725.0,5.0,7.0,947.0,5.0,2.0
ischilin,14049,-30.643234976,-64.498512768,cordoba,31312.0,88.0,1.0,24.0,91.0,8734.0,8759.0,13.0,8389.0,3.0,5.0,163.0,9.0,4.0
san isidro,6756,-34.479401812,-58.5074044,buenos aires,292878.0,98.0,80.0,45.0,96.0,97213.0,97327.0,10.0,91830.0,5.0,6.0,1371.0,3.0,1.0
pocho,14077,-31.319328308,-65.617858887,cordoba,5380.0,46.0,0.0,0.0,73.0,1611.0,1617.0,16.0,1563.0,2.0,23.0,333.0,24.0,6.0
chical co,42063,-36.160430908,-68.129722595,la pampa,1502.0,67.0,0.0,18.0,77.0,474.0,476.0,8.0,462.0,2.0,9.0,11.0,17.0,6.0
navarro,6574,-35.0117915,-59.4247779,buenos aires,17054.0,79.0,34.0,25.0,96.0,5321.0,5330.0,12.0,5210.0,2.0,4.0,111.0,5.0,2.0
san cosme,18133,-27.363933134,-58.661982433,corrientes,14381.0,68.0,2.0,0.0,86.0,3882.0,3918.0,20.0,3690.0,4.0,11.0,243.0,15.0,6.0
leales,90056,-27.140039444,-65.134643555,tucuman,54949.0,68.0,11.0,10.0,90.0,13663.0,13674.0,17.0,13127.0,3.0,9.0,804.0,15.0,6.0
cruz del eje,14028,-31.0893001,-65.0484771,cordoba,58759.0,89.0,18.0,0.0,86.0,15948.0,16019.0,17.0,15265.0,4.0,7.0,571.0,14.0,6.0
san alberto,14126,-31.790562747,-65.167101871,cordoba,37004.0,79.0,0.0,0.0,86.0,10320.0,10668.0,12.0,9816.0,4.0,8.0,406.0,13.0,6.0
general donovan,22056,-27.1738508,-59.26113326,chaco,13490.0,86.0,2.0,0.0,82.0,3698.0,3704.0,25.0,3576.0,3.0,9.0,241.0,14.0,6.0
escobar,6252,-34.3007971,-58.7215474,buenos aires,213619.0,23.0,15.0,60.0,97.0,59981.0,60023.0,14.0,54876.0,8.0,13.0,3220.0,11.0,5.0
saladas,18126,-28.320760537,-58.546449426,corrientes,22244.0,78.0,26.0,0.0,79.0,5638.0,5653.0,26.0,5470.0,2.0,22.0,1082.0,24.0,7.0
las colonias,82070,-31.6618986,-61.0112577,santa fe,104946.0,83.0,46.0,42.0,97.0,34327.0,34402.0,8.0,33042.0,3.0,4.0,321.0,3.0,1.0
el alto,10056,-28.37478,-65.15865,catamarca,3570.0,60.0,0.0,0.0,82.0,1042.0,1054.0,13.0,1015.0,2.0,8.0,63.0,18.0,4.0
lincoln,6469,-35.4981702,-61.8064882,buenos aires,41808.0,81.0,51.0,80.0,97.0,14528.0,14548.0,13.0,14063.0,3.0,4.0,163.0,3.0,1.0
rio cuarto,14098,-32.647510949,-64.221418594,cordoba,246393.0,93.0,58.0,58.0,97.0,80878.0,81100.0,10.0,78485.0,2.0,3.0,774.0,4.0,2.0
coronel felipe varela,46028,-29.280702591,-68.155670166,la rioja,9648.0,88.0,0.0,0.0,86.0,2617.0,2633.0,10.0,2513.0,3.0,8.0,201.0,15.0,3.0
chos malal,58042,-37.06895161,-70.38454137,neuquen,15256.0,90.0,25.0,83.0,90.0,4600.0,4633.0,18.0,4442.0,3.0,8.0,212.0,10.0,4.0
saladillo,6707,-35.6504504,-59.8096018,buenos aires,32103.0,85.0,50.0,46.0,96.0,10768.0,10787.0,9.0,10512.0,2.0,3.0,145.0,3.0,1.0
general la madrid,6322,-37.530620575,-61.569114685,buenos aires,10783.0,61.0,8.0,57.0,97.0,3777.0,3791.0,11.0,3689.0,2.0,3.0,44.0,3.0,1.0
general alvarado,6280,-38.222449169,-57.895726732,buenos aires,39594.0,89.0,57.0,63.0,96.0,12732.0,12798.0,13.0,12339.0,3.0,5.0,363.0,6.0,3.0
coronel pringles,6196,-37.9951979,-60.8897785,buenos aires,22933.0,85.0,68.0,63.0,95.0,13451.0,8115.0,21.0,7888.0,2.0,3.0,68.0,3.0,2.0
guaymallen,50028,-32.920761473,-68.707118584,mendoza,283803.0,91.0,79.0,75.0,96.0,79770.0,79901.0,14.0,73330.0,8.0,10.0,1542.0,6.0,3.0
yerba buena,90119,-26.778963958,-65.285320842,tucuman,75076.0,86.0,21.0,59.0,96.0,18560.0,18573.0,14.0,17171.0,7.0,10.0,628.0,8.0,3.0
islas del ibicuy,30063,-33.778770704,-58.54070986,entre rios,12077.0,62.0,21.0,0.0,86.0,3445.0,3473.0,21.0,3369.0,2.0,15.0,459.0,19.0,5.0
nogoya,30077,-32.172979005,-59.563413013,entre rios,39026.0,81.0,68.0,20.0,93.0,12207.0,12227.0,14.0,11878.0,2.0,4.0,191.0,6.0,3.0
vinchina,46098,-28.508514404,-68.508041382,la rioja,2731.0,91.0,0.0,0.0,85.0,766.0,776.0,15.0,749.0,2.0,8.0,48.0,11.0,3.0
san javier,14133,-32.01613487,-65.163820049,cordoba,53520.0,90.0,1.0,19.0,90.0,15855.0,15981.0,13.0,15006.0,5.0,8.0,428.0,10.0,5.0
san miguel,18154,-27.781728535,-57.311626934,corrientes,10572.0,71.0,0.0,0.0,59.0,2553.0,2566.0,37.0,2473.0,3.0,31.0,722.0,27.0,13.0
san rafael,50105,-34.220188141,-67.911636352,mendoza,188018.0,90.0,35.0,55.0,93.0,56391.0,56630.0,16.0,54276.0,3.0,6.0,1272.0,7.0,3.0
ambato,10007,-27.89856,-65.97863,catamarca,4463.0,77.0,0.0,0.0,90.0,1294.0,1316.0,15.0,1250.0,3.0,7.0,58.0,10.0,3.0
chacabuco,6210,-34.66495,-60.441390001,buenos aires,48703.0,90.0,75.0,84.0,98.0,16496.0,16515.0,10.0,15624.0,5.0,6.0,212.0,4.0,2.0
san javier,54105,-27.751202788,-55.008955767,misiones,20906.0,56.0,3.0,0.0,81.0,5714.0,5730.0,22.0,5412.0,5.0,13.0,478.0,16.0,3.0
arrecifes,6077,-33.9628001,-59.8615291,buenos aires,29044.0,93.0,62.0,60.0,95.0,9546.0,9563.0,10.0,9212.0,3.0,6.0,154.0,4.0,1.0
9 de julio,82077,-29.075847203,-61.736250688,santa fe,29832.0,47.0,8.0,0.0,85.0,8744.0,8767.0,15.0,8412.0,3.0,7.0,288.0,15.0,6.0
san martin,50098,-33.035971682,-68.47084072,mendoza,118220.0,88.0,53.0,49.0,94.0,32730.0,32778.0,16.0,30409.0,7.0,9.0,837.0,9.0,4.0
