departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos,departamento_nombre_normalizado,provincia_nombre_normalizado,fila_original
patino,34,formosa,2021,6,dengue,1,posneonato 29 hasta 365 dias,1,patino,formosa,2
patino,34,formosa,2021,8,dengue,1,posneonato 29 hasta 365 dias,1,patino,formosa,3
patino,34,formosa,2021,10,dengue,1,posneonato 29 hasta 365 dias,1,patino,formosa,4
la rioja capital,46,la rioja,2021,12,dengue,1,posneonato 29 hasta 365 dias,1,la rioja capital,la rioja,5
iguazu,54,misiones,2021,6,dengue,1,posneonato 29 hasta 365 dias,1,iguazu,misiones,6
anta,66,salta,2021,11,dengue,1,posneonato 29 hasta 365 dias,1,anta,salta,7
anta,66,salta,2021,16,dengue,1,posneonato 29 hasta 365 dias,1,anta,salta,8
general jose de san martin,66,salta,2021,14,dengue,1,posneonato 29 hasta 365 dias,1,general jose de san martin,salta,9
oran,66,salta,2021,17,dengue,1,posneonato 29 hasta 365 dias,1,oran,salta,10
oran,66,salta,2021,18,dengue,1,posneonato 29 hasta 365 dias,1,oran,salta,11
patino,34,formosa,2021,10,dengue,2,de 13 a 24 meses,1,patino,formosa,12
la rioja capital,46,la rioja,2021,9,dengue,2,de 13 a 24 meses,1,la rioja capital,la rioja,13
anta,66,salta,2021,14,dengue,2,de 13 a 24 meses,1,anta,salta,14
general jose de san martin,66,salta,2021,7,dengue,2,de 13 a 24 meses,1,general jose de san martin,salta,15
general jose de san martin,66,salta,2021,9,dengue,2,de 13 a 24 meses,1,general jose de san martin,salta,16
oran,66,salta,2021,18,dengue,2,de 13 a 24 meses,1,oran,salta,17
oran,66,salta,2021,19,dengue,2,de 13 a 24 meses,1,oran,salta,18
federacion,30,entre rios,2021,16,dengue,3,de 2 a 4 anos,1,federacion,entre rios,19
patino,34,formosa,2021,6,dengue,3,de 2 a 4 anos,1,patino,formosa,20
patino,34,formosa,2021,8,dengue,3,de 2 a 4 anos,1,patino,formosa,21
patino,34,formosa,2021,10,dengue,3,de 2 a 4 anos,1,patino,formosa,22
ledesma,38,jujuy,2021,17,dengue,3,de 2 a 4 anos,1,ledesma,jujuy,23
la rioja capital,46,la rioja,2021,10,dengue,3,de 2 a 4 anos,1,la rioja capital,la rioja,24
la rioja capital,46,la rioja,2021,15,dengue,3,de 2 a 4 anos,2,la rioja capital,la rioja,25
la rioja capital,46,la rioja,2021,21,dengue,3,de 2 a 4 anos,1,la rioja capital,la rioja,26
misiones capital,54,misiones,2021,10,dengue,3,de 2 a 4 anos,2,misiones capital,misiones,27
misiones capital,54,misiones,2021,12,dengue,3,de 2 a 4 anos,1,misiones capital,misiones,28
anta,66,salta,2021,13,dengue,3,de 2 a 4 anos,1,anta,salta,29
anta,66,salta,2021,15,dengue,3,de 2 a 4 anos,1,anta,salta,30
general jose de san martin,66,salta,2021,6,dengue,3,de 2 a 4 anos,1,general jose de san martin,salta,31
general jose de san martin,66,salta,2021,9,dengue,3,de 2 a 4 anos,2,general jose de san martin,salta,32
general jose de san martin,66,salta,2021,10,dengue,3,de 2 a 4 anos,1,general jose de san martin,salta,33
general jose de san martin,66,salta,2021,11,dengue,3,de 2 a 4 anos,1,general jose de san martin,salta,34
general jose de san martin,66,salta,2021,13,dengue,3,de 2 a 4 anos,1,general jose de san martin,salta,35
general jose de san martin,66,salta,2021,14,dengue,3,de 2 a 4 anos,1,general jose de san martin,salta,36
general jose de san martin,66,salta,2021,17,dengue,3,de 2 a 4 anos,1,general jose de san martin,salta,37
oran,66,salta,2021,11,dengue,3,de 2 a 4 anos,2,oran,salta,38
oran,66,salta,2021,15,dengue,3,de 2 a 4 anos,3,oran,salta,39
oran,66,salta,2021,16,dengue,3,de 2 a 4 anos,4,oran,salta,40
oran,66,salta,2021,17,dengue,3,de 2 a 4 anos,4,oran,salta,41
oran,66,salta,2021,19,dengue,3,de 2 a 4 anos,1,oran,salta,42
oran,66,salta,2021,22,dengue,3,de 2 a 4 anos,1,oran,salta,43
rivadavia,66,salta,2021,16,dengue,3,de 2 a 4 anos,1,rivadavia,salta,44
