departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos,departamento_nombre_normalizado,provincia_nombre_normalizado,fila_original,departamento_id_uta_2020,poblacion
patino,34,formosa,2021,6,dengue,1,posneonato 29 hasta 365 dias,1,patino,formosa,2,34035,77488
patino,34,formosa,2021,8,dengue,1,posneonato 29 hasta 365 dias,1,patino,formosa,3,34035,77488
patino,34,formosa,2021,10,dengue,1,posneonato 29 hasta 365 dias,1,patino,formosa,4,34035,77488
la rioja capital,46,la rioja,2021,12,dengue,1,posneonato 29 hasta 365 dias,1,la rioja capital,la rioja,5,46014,226872
iguazu,54,misiones,2021,6,dengue,1,posneonato 29 hasta 365 dias,1,iguazu,misiones,6,54063,101413
anta,66,salta,2021,11,dengue,1,posneonato 29 hasta 365 dias,1,anta,salta,7,66007,69909
anta,66,salta,2021,16,dengue,1,posneonato 29 hasta 365 dias,1,anta,salta,8,66007,69909
general jose de san martin,66,salta,2021,14,dengue,1,posneonato 29 hasta 365 dias,1,general jose de san martin,salta,9,66056,187231
oran,66,salta,2021,17,dengue,1,posneonato 29 hasta 365 dias,1,oran,salta,10,66126,164544
oran,66,salta,2021,18,dengue,1,posneonato 29 hasta 365 dias,1,oran,salta,11,66126,164544
patino,34,formosa,2021,10,dengue,2,de 13 a 24 meses,1,patino,formosa,12,34035,77488
la rioja capital,46,la rioja,2021,9,dengue,2,de 13 a 24 meses,1,la rioja capital,la rioja,13,46014,226872
anta,66,salta,2021,14,dengue,2,de 13 a 24 meses,1,anta,salta,14,66007,69909
general jose de san martin,66,salta,2021,7,dengue,2,de 13 a 24 meses,1,general jose de san martin,salta,15,66056,187231
general jose de san martin,66,salta,2021,9,dengue,2,de 13 a 24 meses,1,general jose de san martin,salta,16,66056,187231
oran,66,salta,2021,18,dengue,2,de 13 a 24 meses,1,oran,salta,17,66126,164544
oran,66,salta,2021,19,dengue,2,de 13 a 24 meses,1,oran,salta,18,66126,164544
federacion,30,entre rios,2021,16,dengue,3,de 2 a 4 anos,1,federacion,entre rios,19,30028,84769
patino,34,formosa,2021,6,dengue,3,de 2 a 4 anos,1,patino,formosa,20,34035,77488
patino,34,formosa,2021,8,dengue,3,de 2 a 4 anos,1,patino,formosa,21,34035,77488
patino,34,formosa,2021,10,dengue,3,de 2 a 4 anos,1,patino,formosa,22,34035,77488
ledesma,38,jujuy,2021,17,dengue,3,de 2 a 4 anos,1,ledesma,jujuy,23,38035,89823
la rioja capital,46,la rioja,2021,10,dengue,3,de 2 a 4 anos,1,la rioja capital,la rioja,24,46014,226872
la rioja capital,46,la rioja,2021,15,dengue,3,de 2 a 4 anos,2,la rioja capital,la rioja,25,46014,226872
la rioja capital,46,la rioja,2021,21,dengue,3,de 2 a 4 anos,1,la rioja capital,la rioja,26,46014,226872
misiones capital,54,misiones,2021,10,dengue,3,de 2 a 4 anos,2,misiones capital,misiones,27,54028,375429
misiones capital,54,misiones,2021,12,dengue,3,de 2 a 4 anos,1,misiones capital,misiones,28,54028,375429
anta,66,salta,2021,13,dengue,3,de 2 a 4 anos,1,anta,salta,29,66007,69909
anta,66,salta,2021,15,dengue,3,de 2 a 4 anos,1,anta,salta,30,66007,69909
general jose de san martin,66,salta,2021,6,dengue,3,de 2 a 4 anos,1,general jose de san martin,salta,31,66056,187231
general jose de san martin,66,salta,2021,9,dengue,3,de 2 a 4 anos,2,general jose de san martin,salta,32,66056,187231
general jose de san martin,66,salta,2021,10,dengue,3,de 2 a 4 anos,1,general jose de san martin,salta,33,66056,187231
general jose de san martin,66,salta,2021,11,dengue,3,de 2 a 4 anos,1,general jose de san martin,salta,34,66056,187231
general jose de san martin,66,salta,2021,13,dengue,3,de 2 a 4 anos,1,general jose de san martin,salta,35,66056,187231
