departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos,departamento_nombre_normalizado,provincia_nombre_normalizado,fila_original,departamento_id_uta_2020,poblacion
comuna 7,2,ciudad de buenos aires,2023,21,dengue,6,de 15 a 19 anos,1,comuna 7,ciudad de buenos aires,11674,2007,242674
burruyacu,90,tucuman,2023,21,dengue,11,mayores de 65 anos,4,burruyacu,tucuman,11675,90007,47306
rivadavia,66,mendoza,2023,21,dengue,7,de 20 a 24 anos,4,rivadavia,salta,11676,50084,65149
corrientes capital,18,corrientes,2023,21,dengue,10,de 45 a 65 anos,12,corrientes capital,corrientes,11677,18021,422722
comuna 1,2,ciudad de buenos aires,2023,21,dengue,10,de 45 a 65 anos,7,comuna 1,ciudad de buenos aires,11678,2001,258497
comuna 14,2,ciudad de buenos aires,2023,21,dengue,7,de 20 a 24 anos,1,comuna 14,ciudad de buenos aires,11679,2014,227268
comuna 14,2,ciudad de buenos aires,2023,21,dengue,10,de 45 a 65 anos,1,comuna 14,ciudad de buenos aires,11680,2014,227268
comuna 13,2,ciudad de buenos aires,2023,21,dengue,11,mayores de 65 anos,1,comuna 13,ciudad de buenos aires,11681,2013,236650
avellaneda,6,rio negro,2023,21,dengue,9,de 35 a 44 anos,1,avellaneda,buenos aires,11682,62014,41608
la capital,82,santa fe,2023,21,dengue,8,de 25 a 34 anos,1,la capital,santa fe,11683,82063,597127
juan b alberdi,90,tucuman,2023,21,dengue,9,de 35 a 44 anos,1,juan b alberdi,tucuman,11684,90042,36500
corrientes capital,18,corrientes,2023,21,dengue,8,de 25 a 34 anos,11,corrientes capital,corrientes,11685,18021,422722
comuna 14,2,ciudad de buenos aires,2023,21,dengue,11,mayores de 65 anos,3,comuna 14,ciudad de buenos aires,11686,2014,227268
san fernando,22,chaco,2023,21,dengue,10,de 45 a 65 anos,63,san fernando,chaco,11687,22140,454478
comuna 5,2,ciudad de buenos aires,2023,21,dengue,9,de 35 a 44 anos,1,comuna 5,ciudad de buenos aires,11688,2005,187907
santiago del estero capital,86,santiago del estero,2023,21,dengue,4,de 5 a 9 anos,1,santiago del estero capital,santiago del estero,11689,86049,306825
anta,66,salta,2023,21,dengue,11,mayores de 65 anos,17,anta,salta,11690,66007,71843
2 de abril,22,chaco,2023,21,dengue,11,mayores de 65 anos,2,2 de abril,chaco,11691,22039,7952
burruyacu,90,tucuman,2023,21,dengue,10,de 45 a 65 anos,2,burruyacu,tucuman,11692,90007,47306
la rioja capital,46,la rioja,2023,21,dengue,7,de 20 a 24 anos,5,la rioja capital,la rioja,11693,46014,234308
anta,66,salta,2023,21,dengue,6,de 15 a 19 anos,9,anta,salta,11694,66007,71843
tafi viejo,90,tucuman,2023,21,dengue,11,mayores de 65 anos,23,tafi viejo,tucuman,11695,90105,157352
la capital,82,santa fe,2023,21,dengue,9,de 35 a 44 anos,6,la capital,santa fe,11696,82063,597127
castellanos,82,santa fe,2023,21,dengue,8,de 25 a 34 anos,1,castellanos,santa fe,11697,82021,213548
comandante fernandez,22,chaco,2023,21,dengue,9,de 35 a 44 anos,8,comandante fernandez,chaco,11698,22021,118660
villaguay,30,entre rios,2023,21,dengue,9,de 35 a 44 anos,1,villaguay,entre rios,11699,30113,53297
comuna 1,2,ciudad de buenos aires,2023,21,dengue,11,mayores de 65 anos,11,comuna 1,ciudad de buenos aires,11700,2001,258497
san pedro,38,buenos aires,2023,21,dengue,10,de 45 a 65 anos,4,san pedro,jujuy,11701,6770,64827
almirante brown,6,buenos aires,2023,21,dengue,10,de 45 a 65 anos,1,almirante brown,buenos aires,11702,6028,608878
general obligado,82,santa fe,2023,21,dengue,6,de 15 a 19 anos,3,general obligado,santa fe,11703,82049,205315
santiago del estero capital,86,santiago del estero,2023,21,dengue,7,de 20 a 24 anos,37,santiago del estero capital,santiago del estero,11704,86049,306825
