departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos,departamento_nombre_normalizado,provincia_nombre_normalizado,fila_original,departamento_id_uta_2020,poblacion
general belgrano,2,chaco,2020,3.0,dengue,10,de 45 a 65 anos,1,comuna 1,ciudad de buenos aires,2,22049,14741
general belgrano,2,chaco,2020,5.0,dengue,8,de 25 a 34 anos,1,comuna 1,ciudad de buenos aires,3,22049,14741
general belgrano,2,chaco,2020,5.0,dengue,9,de 35 a 44 anos,1,comuna 1,ciudad de buenos aires,4,22049,14741
general belgrano,2,chaco,2020,5.0,dengue,10,de 45 a 65 anos,2,comuna 1,ciudad de buenos aires,5,22049,14741
general belgrano,2,chaco,2020,6.0,dengue,8,de 25 a 34 anos,1,comuna 1,ciudad de buenos aires,6,22049,14741
general belgrano,2,chaco,2020,6.0,dengue,8,de 25 a 34 anos,1,comuna 1,ciudad de buenos aires,7,22049,14741
general belgrano,2,chaco,2020,6.0,dengue,9,de 35 a 44 anos,2,comuna 1,ciudad de buenos aires,8,22049,14741
general belgrano,2,chaco,2020,6.0,dengue,10,de 45 a 65 anos,2,comuna 1,ciudad de buenos aires,9,22049,14741
general belgrano,2,chaco,2020,6.0,dengue,4,de 5 a 9 anos,1,comuna 1,ciudad de buenos aires,10,22049,14741
general belgrano,2,chaco,2020,7.0,dengue,5,de 10 a 14 anos,1,comuna 1,ciudad de buenos aires,11,22049,14741
general belgrano,2,chaco,2020,7.0,dengue,3,de 2 a 4 anos,1,comuna 1,ciudad de buenos aires,12,22049,14741
general belgrano,2,chaco,2020,7.0,dengue,8,de 25 a 34 anos,1,comuna 1,ciudad de buenos aires,13,22049,14741
general belgrano,2,chaco,2020,7.0,dengue,9,de 35 a 44 anos,2,comuna 1,ciudad de buenos aires,14,22049,14741
general belgrano,2,chaco,2020,7.0,dengue,10,de 45 a 65 anos,3,comuna 1,ciudad de buenos aires,15,22049,14741
general belgrano,2,chaco,2020,8.0,dengue,5,de 10 a 14 anos,1,comuna 1,ciudad de buenos aires,16,22049,14741
general belgrano,2,chaco,2020,8.0,dengue,6,de 15 a 19 anos,6,comuna 1,ciudad de buenos aires,17,22049,14741
general belgrano,2,chaco,2020,8.0,dengue,7,de 20 a 24 anos,5,comuna 1,ciudad de buenos aires,18,22049,14741
general belgrano,2,chaco,2020,8.0,dengue,8,de 25 a 34 anos,7,comuna 1,ciudad de buenos aires,19,22049,14741
general belgrano,2,chaco,2020,8.0,dengue,9,de 35 a 44 anos,8,comuna 1,ciudad de buenos aires,20,22049,14741
general belgrano,2,chaco,2020,8.0,dengue,10,de 45 a 65 anos,12,comuna 1,ciudad de buenos aires,21,22049,14741
general belgrano,2,chaco,2020,8.0,dengue,11,mayores de 65 anos,1,comuna 1,ciudad de buenos aires,22,22049,14741
general belgrano,2,chaco,2020,9.0,dengue,5,de 10 a 14 anos,2,comuna 1,ciudad de buenos aires,23,22049,14741
general belgrano,2,chaco,2020,9.0,dengue,6,de 15 a 19 anos,4,comuna 1,ciudad de buenos aires,24,22049,14741
general belgrano,2,chaco,2020,9.0,dengue,7,de 20 a 24 anos,10,comuna 1,ciudad de buenos aires,25,22049,14741
general belgrano,2,chaco,2020,9.0,dengue,8,de 25 a 34 anos,14,comuna 1,ciudad de buenos aires,26,22049,14741
general belgrano,2,chaco,2020,9.0,dengue,9,de 35 a 44 anos,16,comuna 1,ciudad de buenos aires,27,22049,14741
general belgrano,2,chaco,2020,9.0,dengue,10,de 45 a 65 anos,18,comuna 1,ciudad de buenos aires,28,22049,14741
general belgrano,2,chaco,2020,9.0,dengue,4,de 5 a 9 anos,5,comuna 1,ciudad de buenos aires,29,22049,14741
general belgrano,2,chaco,2020,9.0,dengue,11,mayores de 65 anos,14,comuna 1,ciudad de buenos aires,30,22049,14741
general belgrano,2,chaco,2020,10.0,dengue,5,de 10 a 14 anos,16,comuna 1,ciudad de buenos aires,31,22049,14741
general belgrano,2,chaco,2020,10.0,dengue,6,de 15 a 19 anos,19,comuna 1,ciudad de buenos aires,32,22049,14741
general belgrano,2,chaco,2020,10.0,dengue,3,de 2 a 4 anos,1,comuna 1,ciudad de buenos aires,33,22049,14741
general belgrano,2,chaco,2020,10.0,dengue,7,de 20 a 24 anos,14,comuna 1,ciudad de buenos aires,34,22049,14741
general belgrano,2,chaco,2020,10.0,dengue,8,de 25 a 34 anos,33,comuna 1,ciudad de buenos aires,35,22049,14741
general belgrano,2,chaco,2020,10.0,dengue,9,de 35 a 44 anos,37,comuna 1,ciudad de buenos aires,36,22049,14741
general belgrano,2,chaco,2020,10.0,dengue,10,de 45 a 65 anos,45,comuna 1,ciudad de buenos aires,37,22049,14741
general belgrano,2,chaco,2020,10.0,dengue,4,de 5 a 9 anos,9,comuna 1,ciudad de buenos aires,38,22049,14741
general belgrano,2,chaco,2020,10.0,dengue,11,mayores de 65 anos,14,comuna 1,ciudad de buenos aires,39,22049,14741
general belgrano,2,chaco,2020,10.0,dengue,1,posneonato 29 hasta 365 dias,1,comuna 1,ciudad de buenos aires,40,22049,14741
general belgrano,2,chaco,2020,11.0,dengue,5,de 10 a 14 anos,27,comuna 1,ciudad de buenos aires,41,22049,14741
general belgrano,2,chaco,2020,11.0,dengue,6,de 15 a 19 anos,32,comuna 1,ciudad de buenos aires,42,22049,14741
general belgrano,2,chaco,2020,11.0,dengue,3,de 2 a 4 anos,4,comuna 1,ciudad de buenos aires,43,22049,14741
general belgrano,2,chaco,2020,11.0,dengue,7,de 20 a 24 anos,24,comuna 1,ciudad de buenos aires,44,22049,14741
general belgrano,2,chaco,2020,11.0,dengue,8,de 25 a 34 anos,60,comuna 1,ciudad de buenos aires,45,22049,14741
general belgrano,2,chaco,2020,11.0,dengue,9,de 35 a 44 anos,67,comuna 1,ciudad de buenos aires,46,22049,14741
general belgrano,2,chaco,2020,11.0,dengue,10,de 45 a 65 anos,83,comuna 1,ciudad de buenos aires,47,22049,14741
general belgrano,2,chaco,2020,11.0,dengue,4,de 5 a 9 anos,22,comuna 1,ciudad de buenos aires,48,22049,14741
general belgrano,2,chaco,2020,11.0,dengue,11,mayores de 65 anos,24,comuna 1,ciudad de buenos aires,49,22049,14741
general belgrano,2,chaco,2020,12.0,dengue,5,de 10 a 14 anos,11,comuna 1,ciudad de buenos aires,50,22049,14741
general belgrano,2,chaco,2020,12.0,dengue,2,de 13 a 24 meses,1,comuna 1,ciudad de buenos aires,51,22049,14741
