departamento_id,departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos
999,desconocido,14,cordoba,2024,14,dengue,6,de 15 a 19 anos,1.0
999,desconocido,14,cordoba,2024,17,dengue,7,de 20 a 24 anos,1.0
999,desconocido,14,cordoba,2024,12,dengue,8,de 25 a 34 anos,1.0
999,desconocido,14,cordoba,2024,7,dengue,9,de 35 a 44 anos,1.0
999,desconocido,2,caba,2024,13,dengue,10,de 45 a 65 anos,11.0
999,desconocido,2,caba,2024,10,dengue,11,mayores de 65 anos,7.0
999,desconocido,2,caba,2024,9,dengue,6,de 15 a 19 anos,5.0
999,desconocido,2,caba,2024,11,dengue,7,de 20 a 24 anos,5.0
999,desconocido,2,caba,2024,8,dengue,7,de 20 a 24 anos,3.0
999,desconocido,2,caba,2024,12,dengue,8,de 25 a 34 anos,7.0
999,desconocido,2,caba,2024,15,dengue,8,de 25 a 34 anos,1.0
999,desconocido,2,caba,2024,13,dengue,9,de 35 a 44 anos,12.0
999,desconocido,30,entre rios,2024,9,dengue,8,de 25 a 34 anos,1.0
999,desconocido,46,la rioja,2024,16,dengue,7,de 20 a 24 anos,1.0
999,desconocido,46,la rioja,2024,16,dengue,9,de 35 a 44 anos,1.0
999,desconocido,6,buenos aires,2024,8,dengue,11,mayores de 65 anos,1.0
999,desconocido,6,buenos aires,2024,8,dengue,9,de 35 a 44 anos,2.0
999,desconocido,90,tucuman,2024,13,dengue,11,mayores de 65 anos,1.0
999,desconocido,90,tucuman,2024,18,dengue,4,de 5 a 9 anos,2.0
1,comuna 1,2,caba,2024,1,dengue,11,mayores de 65 anos,1.0
1,comuna 1,2,caba,2024,10,dengue,11,mayores de 65 anos,115.0
1,comuna 1,2,caba,2024,8,dengue,11,mayores de 65 anos,67.0
1,comuna 1,2,caba,2024,11,dengue,2,de 13 a 24 meses,1.0
1,comuna 1,2,caba,2024,12,dengue,2,de 13 a 24 meses,2.0
1,comuna 1,2,caba,2024,12,dengue,3,de 2 a 4 anos,3.0
1,comuna 1,2,caba,2024,15,dengue,3,de 2 a 4 anos,2.0
1,comuna 1,2,caba,2024,9,dengue,3,de 2 a 4 anos,1.0
1,comuna 1,2,caba,2024,4,dengue,6,de 15 a 19 anos,7.0
1,comuna 1,2,caba,2024,15,dengue,7,de 20 a 24 anos,92.0
