departamento_id,departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos
22028,chacabuco,22,chaco,2019,15,dengue,8,de 25 a 34 anos,1
22028,chacabuco,22,chaco,2019,2,dengue,10,de 45 a 65 anos,1
22021,comandante fernandez,22,chaco,2019,25,dengue,10,de 45 a 65 anos,1
22049,general belgrano,22,chaco,2019,21,dengue,9,de 35 a 44 anos,1
22063,general guemes,22,chaco,2019,16,dengue,5,de 10 a 14 anos,1
22063,general guemes,22,chaco,2019,19,dengue,5,de 10 a 14 anos,1
22063,general guemes,22,chaco,2019,20,dengue,5,de 10 a 14 anos,1
22063,general guemes,22,chaco,2019,21,dengue,5,de 10 a 14 anos,2
22063,general guemes,22,chaco,2019,22,dengue,5,de 10 a 14 anos,1
22063,general guemes,22,chaco,2019,24,dengue,5,de 10 a 14 anos,1
22063,general guemes,22,chaco,2019,14,dengue,6,de 15 a 19 anos,2
22063,general guemes,22,chaco,2019,17,dengue,6,de 15 a 19 anos,2
22063,general guemes,22,chaco,2019,19,dengue,6,de 15 a 19 anos,1
22063,general guemes,22,chaco,2019,20,dengue,6,de 15 a 19 anos,4
22063,general guemes,22,chaco,2019,12,dengue,3,de 2 a 4 anos,1
22063,general guemes,22,chaco,2019,15,dengue,7,de 20 a 24 anos,1
22063,general guemes,22,chaco,2019,13,dengue,7,de 20 a 24 anos,1
22063,general guemes,22,chaco,2019,14,dengue,7,de 20 a 24 anos,1
22063,general guemes,22,chaco,2019,15,dengue,7,de 20 a 24 anos,1
22063,general guemes,22,chaco,2019,18,dengue,7,de 20 a 24 anos,1
22063,general guemes,22,chaco,2019,19,dengue,7,de 20 a 24 anos,4
22063,general guemes,22,chaco,2019,20,dengue,7,de 20 a 24 anos,3
22063,general guemes,22,chaco,2019,21,dengue,7,de 20 a 24 anos,1
22063,general guemes,22,chaco,2019,22,dengue,7,de 20 a 24 anos,1
22063,general guemes,22,chaco,2019,24,dengue,7,de 20 a 24 anos,1
22063,general guemes,22,chaco,2019,12,dengue,8,de 25 a 34 anos,1
22063,general guemes,22,chaco,2019,14,dengue,8,de 25 a 34 anos,1
22063,general guemes,22,chaco,2019,15,dengue,8,de 25 a 34 anos,2
22063,general guemes,22,chaco,2019,16,dengue,8,de 25 a 34 anos,1
22063,general guemes,22,chaco,2019,18,dengue,8,de 25 a 34 anos,1
22063,general guemes,22,chaco,2019,19,dengue,8,de 25 a 34 anos,4
22063,general guemes,22,chaco,2019,20,dengue,8,de 25 a 34 anos,8
22063,general guemes,22,chaco,2019,21,dengue,8,de 25 a 34 anos,1
22063,general guemes,22,chaco,2019,22,dengue,8,de 25 a 34 anos,2
22063,general guemes,22,chaco,2019,17,dengue,9,de 35 a 44 anos,1
22063,general guemes,22,chaco,2019,18,dengue,9,de 35 a 44 anos,2
22063,general guemes,22,chaco,2019,19,dengue,9,de 35 a 44 anos,3
