departamento_nombre,provincia_id,provincia_nombre,ano,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos,departamento_nombre_normalizado,provincia_nombre_normalizado,fila_original
comuna 5,2,ciudad de buenos aires,2023,1,dengue,6,de 15 a 19 anos,1,comuna 5,ciudad de buenos aires,2
san fernando,22,chaco,2023,1,dengue,8,de 25 a 34 anos,1,san fernando,chaco,3
misiones capital,54,misiones,2023,1,dengue,11,mayores de 65 anos,1,misiones capital,misiones,4
san fernando,22,chaco,2023,1,dengue,5,de 10 a 14 anos,2,san fernando,chaco,5
comuna 9,2,ciudad de buenos aires,2023,1,dengue,11,mayores de 65 anos,1,comuna 9,ciudad de buenos aires,6
san fernando,22,chaco,2023,1,dengue,10,de 45 a 65 anos,2,san fernando,chaco,7
malvinas argentinas,6,buenos aires,2023,1,dengue,11,mayores de 65 anos,1,malvinas argentinas,buenos aires,8
comuna 4,2,ciudad de buenos aires,2023,1,dengue,5,de 10 a 14 anos,1,comuna 4,ciudad de buenos aires,9
comuna 5,2,ciudad de buenos aires,2023,1,dengue,11,mayores de 65 anos,1,comuna 5,ciudad de buenos aires,10
libertad,22,chaco,2023,1,dengue,10,de 45 a 65 anos,1,libertad,chaco,11
san fernando,22,chaco,2023,1,dengue,9,de 35 a 44 anos,6,san fernando,chaco,12
rio cuarto,14,cordoba,2023,1,dengue,11,mayores de 65 anos,1,rio cuarto,cordoba,13
avellaneda,86,rio negro,2023,1,dengue,9,de 35 a 44 anos,1,avellaneda,santiago del estero,14
san fernando,22,chaco,2023,1,dengue,11,mayores de 65 anos,3,san fernando,chaco,15
guaymallen,50,mendoza,2023,1,dengue,10,de 45 a 65 anos,1,guaymallen,mendoza,16
misiones capital,54,misiones,2023,1,dengue,9,de 35 a 44 anos,1,misiones capital,misiones,17
comuna 13,2,ciudad de buenos aires,2023,1,dengue,9,de 35 a 44 anos,1,comuna 13,ciudad de buenos aires,18
jose c paz,6,buenos aires,2023,1,dengue,8,de 25 a 34 anos,1,jose c paz,buenos aires,19
comandante fernandez,22,chaco,2023,1,dengue,2,de 13 a 24 meses,1,comandante fernandez,chaco,20
cordoba capital,14,cordoba,2023,1,dengue,10,de 45 a 65 anos,1,cordoba capital,cordoba,21
san fernando,22,chaco,2023,1,dengue,6,de 15 a 19 anos,1,san fernando,chaco,22
comuna 1,2,ciudad de buenos aires,2023,2,dengue,11,mayores de 65 anos,1,comuna 1,ciudad de buenos aires,23
cordoba capital,14,cordoba,2023,2,dengue,10,de 45 a 65 anos,1,cordoba capital,cordoba,24
libertador general san martin,22,san luis,2023,2,dengue,10,de 45 a 65 anos,1,libertador general san martin,chaco,25
chacabuco,22,buenos aires,2023,2,dengue,11,mayores de 65 anos,1,chacabuco,chaco,26
libertador general san martin,22,san luis,2023,2,dengue,8,de 25 a 34 anos,1,libertador general san martin,chaco,27
rio cuarto,14,cordoba,2023,2,dengue,10,de 45 a 65 anos,1,rio cuarto,cordoba,28
merlo,6,buenos aires,2023,2,dengue,7,de 20 a 24 anos,1,merlo,buenos aires,29
general jose de san martin,66,salta,2023,2,dengue,9,de 35 a 44 anos,1,general jose de san martin,salta,30
comuna 13,2,ciudad de buenos aires,2023,2,dengue,10,de 45 a 65 anos,1,comuna 13,ciudad de buenos aires,31
comuna 1,2,ciudad de buenos aires,2023,2,dengue,5,de 10 a 14 anos,1,comuna 1,ciudad de buenos aires,32
rosario,82,santa fe,2023,2,dengue,11,mayores de 65 anos,1,rosario,santa fe,33
libertador general san martin,22,san luis,2023,2,dengue,5,de 10 a 14 anos,1,libertador general san martin,chaco,34
san fernando,22,chaco,2023,2,dengue,11,mayores de 65 anos,1,san fernando,chaco,35
san fernando,22,chaco,2023,2,dengue,4,de 5 a 9 anos,1,san fernando,chaco,36
laishi,34,formosa,2023,2,dengue,10,de 45 a 65 anos,1,laishi,formosa,37
goya,18,corrientes,2023,2,dengue,5,de 10 a 14 anos,1,goya,corrientes,38
san fernando,22,chaco,2023,2,dengue,11,mayores de 65 anos,1,san fernando,chaco,39
comuna 7,2,ciudad de buenos aires,2023,2,dengue,11,mayores de 65 anos,1,comuna 7,ciudad de buenos aires,40
comuna 9,2,ciudad de buenos aires,2023,2,dengue,10,de 45 a 65 anos,1,comuna 9,ciudad de buenos aires,41
comuna 1,2,ciudad de buenos aires,2023,2,dengue,10,de 45 a 65 anos,1,comuna 1,ciudad de buenos aires,42
merlo,6,buenos aires,2023,3,dengue,8,de 25 a 34 anos,1,merlo,buenos aires,43
comuna 6,2,ciudad de buenos aires,2023,3,dengue,8,de 25 a 34 anos,1,comuna 6,ciudad de buenos aires,44
formosa,34,formosa,2023,3,dengue,11,mayores de 65 anos,1,formosa,formosa,45
santiago del estero capital,86,santiago del estero,2023,3,dengue,5,de 10 a 14 anos,1,santiago del estero capital,santiago del estero,46
formosa,34,formosa,2023,3,dengue,7,de 20 a 24 anos,3,formosa,formosa,47
rosario,82,santa fe,2023,3,dengue,11,mayores de 65 anos,1,rosario,santa fe,48
san fernando,6,chaco,2023,3,dengue,9,de 35 a 44 anos,1,san fernando,buenos aires,49
merlo,6,buenos aires,2023,3,dengue,10,de 45 a 65 anos,1,merlo,buenos aires,50
general jose de san martin,66,salta,2023,3,dengue,11,mayores de 65 anos,1,general jose de san martin,salta,51
general obligado,82,santa fe,2023,3,dengue,10,de 45 a 65 anos,1,general obligado,santa fe,52
guaymallen,50,mendoza,2023,3,dengue,11,mayores de 65 anos,1,guaymallen,mendoza,53
general obligado,82,santa fe,2023,3,dengue,8,de 25 a 34 anos,2,general obligado,santa fe,54
libertador general san martin,22,san luis,2023,3,dengue,6,de 15 a 19 anos,1,libertador general san martin,chaco,55
rosario,82,santa fe,2023,3,dengue,9,de 35 a 44 anos,1,rosario,santa fe,56
comandante fernandez,22,chaco,2023,3,dengue,11,mayores de 65 anos,1,comandante fernandez,chaco,57
comuna 1,2,ciudad de buenos aires,2023,3,dengue,11,mayores de 65 anos,1,comuna 1,ciudad de buenos aires,58
santiago del estero capital,86,santiago del estero,2023,3,dengue,8,de 25 a 34 anos,1,santiago del estero capital,santiago del estero,59
general jose de san martin,66,salta,2023,3,dengue,9,de 35 a 44 anos,1,general jose de san martin,salta,60
la matanza,6,buenos aires,2023,3,dengue,5,de 10 a 14 anos,1,la matanza,buenos aires,61
general san martin,6,cordoba,2023,4,dengue,8,de 25 a 34 anos,1,general san martin,buenos aires,62
pilagas,34,formosa,2023,4,dengue,11,mayores de 65 anos,1,pilagas,formosa,63
general jose de san martin,66,salta,2023,4,dengue,6,de 15 a 19 anos,1,general jose de san martin,salta,64
comuna 7,2,ciudad de buenos aires,2023,4,dengue,9,de 35 a 44 anos,1,comuna 7,ciudad de buenos aires,65
ituzaingo,6,corrientes,2023,4,dengue,9,de 35 a 44 anos,1,ituzaingo,buenos aires,66
general jose de san martin,66,salta,2023,4,dengue,3,de 2 a 4 anos,1,general jose de san martin,salta,67
florencio varela,6,buenos aires,2023,4,dengue,10,de 45 a 65 anos,1,florencio varela,buenos aires,68
san isidro,6,buenos aires,2023,4,dengue,11,mayores de 65 anos,1,san isidro,buenos aires,69
ledesma,38,jujuy,2023,4,dengue,11,mayores de 65 anos,1,ledesma,jujuy,71
general obligado,82,santa fe,2023,4,dengue,10,de 45 a 65 anos,3,general obligado,santa fe,72
san justo,14,cordoba,2023,4,dengue,10,de 45 a 65 anos,1,san justo,cordoba,73
general obligado,82,santa fe,2023,4,dengue,7,de 20 a 24 anos,1,general obligado,santa fe,74
general jose de san martin,66,salta,2023,4,dengue,11,mayores de 65 anos,2,general jose de san martin,salta,75
general jose de san martin,66,salta,2023,4,dengue,9,de 35 a 44 anos,3,general jose de san martin,salta,76
san pedro,38,buenos aires,2023,4,dengue,7,de 20 a 24 anos,1,san pedro,jujuy,77
colon,14,cordoba,2023,4,dengue,9,de 35 a 44 anos,1,colon,cordoba,78
rosario,82,santa fe,2023,4,dengue,11,mayores de 65 anos,1,rosario,santa fe,79
general obligado,82,santa fe,2023,4,dengue,11,mayores de 65 anos,6,general obligado,santa fe,80
general jose de san martin,66,salta,2023,4,dengue,11,mayores de 65 anos,1,general jose de san martin,salta,81
san fernando,22,chaco,2023,4,dengue,11,mayores de 65 anos,1,san fernando,chaco,82
lomas de zamora,6,buenos aires,2023,4,dengue,10,de 45 a 65 anos,1,lomas de zamora,buenos aires,83
iguazu,54,misiones,2023,4,dengue,11,mayores de 65 anos,1,iguazu,misiones,84
lanus,6,buenos aires,2023,4,dengue,9,de 35 a 44 anos,1,lanus,buenos aires,85
comuna 11,2,ciudad de buenos aires,2023,4,dengue,11,mayores de 65 anos,1,comuna 11,ciudad de buenos aires,86
general obligado,82,santa fe,2023,4,dengue,9,de 35 a 44 anos,3,general obligado,santa fe,87
chacabuco,22,buenos aires,2023,4,dengue,5,de 10 a 14 anos,1,chacabuco,chaco,88
ledesma,38,jujuy,2023,5,dengue,11,mayores de 65 anos,2,ledesma,jujuy,89
lules,90,tucuman,2023,5,dengue,10,de 45 a 65 anos,8,lules,tucuman,90
general obligado,82,santa fe,2023,5,dengue,4,de 5 a 9 anos,1,general obligado,santa fe,91
comuna 1,2,ciudad de buenos aires,2023,5,dengue,11,mayores de 65 anos,1,comuna 1,ciudad de buenos aires,92
lules,90,tucuman,2023,5,dengue,11,mayores de 65 anos,5,lules,tucuman,93
salta capital,66,salta,2023,5,dengue,11,mayores de 65 anos,1,salta capital,salta,94
comuna 7,2,ciudad de buenos aires,2023,5,dengue,10,de 45 a 65 anos,2,comuna 7,ciudad de buenos aires,95
general jose de san martin,66,salta,2023,5,dengue,9,de 35 a 44 anos,1,general jose de san martin,salta,96
general jose de san martin,66,salta,2023,5,dengue,6,de 15 a 19 anos,2,general jose de san martin,salta,97
general obligado,82,santa fe,2023,5,dengue,11,mayores de 65 anos,5,general obligado,santa fe,98
comandante fernandez,22,chaco,2023,5,dengue,11,mayores de 65 anos,1,comandante fernandez,chaco,99
